timestep,csx0,csy0,csx1,csy1, ,cx0,cy0,cx1,cy1, ,nx0,ny0,nx1,ny1, ,bx0,by0,bx1,by1, ,area_cancer_stem_cells,area_cancer_cells,area_normal_cells,area_blood_cells, ,num_cancer_stem_cells,num_cancer_cells,num_normal_cells,num_blood_cells, ,avg_vegf,avg_lactic,avg_o2,avg_glucose
83,29,37,67,82, ,13,47,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,2756,990,9801, ,28,134,319,9329, ,1.77767,4.36927,26.46,88.2
84,29,37,67,82, ,13,47,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,2756,990,9801, ,27,127,319,9337, ,1.76955,4.36927,26.4698,88.2325
85,29,37,67,82, ,18,47,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,2491,990,9801, ,27,119,319,9345, ,1.75705,4.36927,26.4847,88.2825
86,29,37,67,82, ,18,47,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,2491,990,9801, ,27,111,319,9354, ,1.74267,4.36927,26.502,88.34
87,29,37,67,82, ,19,47,64,99, ,34,34,66,63, ,1,1,99,99, ,1794,2438,990,9801, ,26,102,319,9365, ,1.72705,4.36927,26.52,88.4
88,29,39,67,82, ,19,47,64,99, ,34,34,66,63, ,1,1,99,99, ,1716,2438,990,9801, ,24,96,319,9375, ,1.7108,4.36927,26.538,88.46
89,29,39,67,82, ,19,49,64,99, ,34,34,66,63, ,1,1,99,99, ,1716,2346,990,9801, ,24,92,319,9379, ,1.7058,4.36927,26.544,88.48
90,29,39,67,82, ,19,49,64,99, ,34,34,66,63, ,1,1,99,99, ,1716,2346,990,9801, ,23,88,319,9384, ,1.7008,4.36927,26.55,88.5
91,29,39,67,82, ,19,49,64,99, ,34,34,66,63, ,1,1,99,99, ,1716,2346,990,9801, ,22,82,319,9391, ,1.68642,4.36927,26.5673,88.5575
92,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,22,77,319,9397, ,1.6808,4.36927,26.574,88.58
93,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,22,72,319,9404, ,1.6758,4.36927,26.58,88.6
94,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,21,69,319,9409, ,1.6708,4.36927,26.586,88.62
95,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,21,67,319,9411, ,1.6658,4.36927,26.592,88.64
96,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,21,60,319,9418, ,1.6583,4.36927,26.601,88.67
97,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,21,58,319,9421, ,1.6558,4.36927,26.604,88.68
98,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,21,53,319,9427, ,1.6458,4.36927,26.616,88.72
99,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,21,50,319,9430, ,1.6433,4.36927,26.619,88.73
100,29,39,67,82, ,19,49,58,99, ,34,34,66,63, ,1,1,99,99, ,1716,2040,990,9801, ,20,49,319,9432, ,1.6433,4.36927,26.619,88.73
